facility_name,id,facility_address,period,solar_pv_production_kwh
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2010-12,25.40000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2011-01,56.48000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2011-03,133.88000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2011-05,193.39000
FIRE STATION 8,1369,1720 45 ST SW,2011-06,27.64000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2011-07,229.01000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2011-08,197.42000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2011-09,199.55000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2011-09,191.56000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2011-10,132.62000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2011-12,91.69000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2012-01,99.89000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2012-01,77.93000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2012-02,147.10000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2012-03,157.73000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2012-03,150.80000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2012-04,164.96000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2012-05,88.14000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2012-05,194.51000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2012-07,187.66000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2012-08,213.25000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2012-11,55.01000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2012-12,52.64000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2012-12,43.92000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2013-01,117.00000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2013-01,76.21000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2013-03,183.90000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2013-04,113.78000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2013-05,107.07000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2013-06,100.11000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2013-06,180.74000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2013-07,165.46000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2013-09,172.21000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2013-10,103.83000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2013-10,122.99000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2013-11,65.09000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2013-12,51.05000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2014-02,82.99000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2014-03,142.37000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2014-05,159.00000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2014-06,6534.00000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2014-07,8779.00000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2014-08,173.25000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2014-08,6342.00000
FIRE STATION 8,1369,1720 45 ST SW,2014-09,258.94000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2014-09,4574.00000
FIRE STATION 8,1369,1720 45 ST SW,2014-10,328.61000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2014-10,4029.00000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2014-11,729.00000
FIRE STATION 8,1369,1720 45 ST SW,2014-12,249.64000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2014-12,612.00000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2015-01,60.16000
FIRE STATION 8,1369,1720 45 ST SW,2015-01,265.13000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2015-02,74.54000
FIRE STATION 8,1369,1720 45 ST SW,2015-03,372.01000
FIRE STATION 8,1369,1720 45 ST SW,2015-04,420.64000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2015-04,7189.00000
FIRE STATION 8,1369,1720 45 ST SW,2015-05,488.60000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2015-06,7643.00000
FIRE STATION 24,1348,2607 106 AV SW,2015-07,166.90000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2015-07,7974.00000
FIRE STATION 24,1348,2607 106 AV SW,2015-08,168.90000
FIRE STATION 5,1366,3129 14 ST SW,2015-08,242.00000
FIRE STATION 8,1369,1720 45 ST SW,2015-08,330.50000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2015-08,6678.00000
FIRE STATION 24,1348,2607 106 AV SW,2015-09,101.60000
FIRE STATION 5,1366,3129 14 ST SW,2015-09,523.00000
FIRE STATION 8,1369,1720 45 ST SW,2015-09,123.60000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2015-10,146.10000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2015-10,3807.46000
FIRE STATION 24,1348,2607 106 AV SW,2015-11,36.20000
FIRE STATION 5,1366,3129 14 ST SW,2015-11,356.87000
FIRE STATION 8,1369,1720 45 ST SW,2015-11,96.50000
SOUTHLAND LEISURE CENTRE,3732,2000 SOUTHLAND DR SW,2015-11,4302.92000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2015-12,24.70000
FIRE STATION 5,1366,3129 14 ST SW,2015-12,243.56000
FIRE STATION 8,1369,1720 45 ST SW,2015-12,71.20000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2016-01,40.70000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2016-01,502.00000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2016-02,115.71000
FIRE STATION 5,1366,3129 14 ST SW,2016-02,394.57000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2016-03,175.60000
FIRE STATION 5,1366,3129 14 ST SW,2016-03,521.40000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2011-02,67.83000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2011-04,163.49000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2011-06,101.94000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2011-06,179.36000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2011-07,192.44000
FIRE STATION 8,1369,1720 45 ST SW,2011-07,10.22000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2011-08,213.57000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2011-10,155.81000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2011-11,106.32000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2011-11,76.25000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2011-12,64.38000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2012-02,116.30000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2012-04,162.25000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2012-06,37.79000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2012-06,162.53000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2012-07,208.09000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2012-08,215.47000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2012-09,215.27000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2012-09,199.48000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2012-10,96.53000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2012-10,79.18000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2012-11,91.91000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2013-02,96.62000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2013-02,113.62000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2013-03,163.14000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2013-04,151.12000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2013-05,192.36000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2013-07,202.95000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2013-08,148.17000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2013-08,192.75000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2013-09,122.33000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2013-11,107.49000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2013-12,33.38000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2014-01,64.93000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2014-01,67.91000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2014-02,121.25000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2014-03,78.57000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2014-04,174.04000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2014-05,179.58000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2014-06,187.55000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2014-07,220.46000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2014-09,148.77000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2014-10,147.44000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2014-11,46.59000
FIRE STATION 8,1369,1720 45 ST SW,2014-11,265.78000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2014-12,59.24000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2015-01,600.00000
FIRE STATION 8,1369,1720 45 ST SW,2015-02,282.71000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2015-02,1482.00000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2015-03,152.54000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2015-03,4216.00000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2015-04,204.04000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2015-05,205.81000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2015-05,7712.00000
FIRE STATION 24,1348,2607 106 AV SW,2015-06,71.30000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2015-06,196.92000
FIRE STATION 8,1369,1720 45 ST SW,2015-06,499.50000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2015-07,207.90000
FIRE STATION 8,1369,1720 45 ST SW,2015-07,499.80000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2015-08,194.03000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2015-09,168.00000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2015-09,5266.00000
SOUTHLAND LEISURE CENTRE,3732,2000 SOUTHLAND DR SW,2015-09,15476.00000
FIRE STATION 24,1348,2607 106 AV SW,2015-10,18.90000
FIRE STATION 5,1366,3129 14 ST SW,2015-10,482.00000
FIRE STATION 8,1369,1720 45 ST SW,2015-10,123.20000
SOUTHLAND LEISURE CENTRE,3732,2000 SOUTHLAND DR SW,2015-10,14500.77000
FIRE STATION 30,1352,6 MCKENZIE TOWNE GA SE,2015-11,104.04000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2015-11,1366.19000
FIRE STATION 24,1348,2607 106 AV SW,2015-12,49.90000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2015-12,368.61000
SOUTHLAND LEISURE CENTRE,3732,2000 SOUTHLAND DR SW,2015-12,1722.96000
FIRE STATION 5,1366,3129 14 ST SW,2016-01,280.00000
FIRE STATION 8,1369,1720 45 ST SW,2016-01,74.80000
SOUTHLAND LEISURE CENTRE,3732,2000 SOUTHLAND DR SW,2016-01,3081.87000
FIRE STATION 8,1369,1720 45 ST SW,2016-02,101.74000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2016-02,2985.05000
SOUTHLAND LEISURE CENTRE,3732,2000 SOUTHLAND DR SW,2016-02,9544.10000
69 ST SW LRT PARKADE,495,7085 17 AV SW,2016-03,17.36000
FIRE STATION 8,1369,1720 45 ST SW,2016-03,130.40000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2016-03,4840.32000
SOUTHLAND LEISURE CENTRE,3732,2000 SOUTHLAND DR SW,2016-03,18105.46000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2016-04,56.60000
69 ST SW LRT PARKADE,495,7085 17 AV SW,2016-04,132.97000
FIRE STATION 5,1366,3129 14 ST SW,2016-04,533.77000
FIRE STATION 8,1369,1720 45 ST SW,2016-04,123.47000
69 ST SW LRT PARKADE,495,7085 17 AV SW,2016-05,173.14000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2016-05,167.94000
FIRE STATION 5,1366,3129 14 ST SW,2016-05,533.90000
FIRE STATION 8,1369,1720 45 ST SW,2016-05,98.60000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2016-05,7060.20000
SOUTHLAND LEISURE CENTRE,3732,2000 SOUTHLAND DR SW,2016-05,22154.30000
FIRE STATION 22,1346,7199 TEMPLE DR NE,2016-06,178.40000
FIRE STATION 24,1348,2607 106 AV SW,2016-06,130.20000
INACTIVE - BEARSPAW SALT SILO,1661,11444 BEARSPAW DAM RD NW,2016-06,8099.99000
SOUTHLAND LEISURE CENTRE,3732,2000 SOUTHLAND DR SW,2016-06,25612.55000
69 ST SW LRT PARKADE,495,7085 17 AV SW,2016-07,306.81000
FIRE STATION 24,1348,2607 106 AV SW,2016-07,164.10000
FIRE STATION 5,1366,3129 14 ST SW,2016-07,502.46000
FIRE STATION 8,1369,1720 45 ST SW,2016-07,98.74000
69 ST SW LRT PARKADE,495,7085 17 AV SW,2016-08,291.74000
