facility_name,facility_address,geom,rated_capacity,:@computed_region_4a3i_ccfj,:@computed_region_dspr_7vyd,:@computed_region_4b54_tmc4
69 ST SW LRT PARKADE,7085 17 AV SW,"{'type': 'Point', 'coordinates': [-114.189254223624, 51.0372292684388]}",30,1,241,1
FIRE HEADQUARTERS,4144 11 ST SE,"{'type': 'Point', 'coordinates': [-114.036096761784, 51.017501252498]}",17,3,148,10
FIRE STATION 5,3129 14 ST SW,"{'type': 'Point', 'coordinates': [-114.095150246692, 51.0264022585525]}",4.23,1,99,14
HASKAYNE LEGACY PARK PAVILION,9000 149 ST NW,"{'type': 'Point', 'coordinates': [-114.303707171133, 51.1362742748294]}",33.6,2,21,13
STONEY TRANSIT FACILITY,1921 128 AV NE,"{'type': 'Point', 'coordinates': [-114.019725722856, 51.166694240707]}",66.3,4,3,11
BEARSPAW ADMIN  TRUCK GARAGE,11444 BEARSPAW DAM RD NW,"{'type': 'Point', 'coordinates': [-114.253136190165, 51.107186271023]}",50.25,2,168,13
FIRE STATION 22,7199 TEMPLE DR NE,"{'type': 'Point', 'coordinates': [113.983626383981, 51.0914002387167]}",1.38,,,
SUNNYSIDE STORMWATER LIFT STN,286 MEMORIAL DR NW,"{'type': 'Point', 'coordinates': [-114.068289743431, 51.0580732534139]}",8.9,2,106,7
FIRE STATION 42,275 TUSCANY WY NW,"{'type': 'Point', 'coordinates': [-114.250020717882, 51.1287649183817]}",20,2,167,13
GLENMORE WATER TREATMENT PLANT,1668 56 AV SW,"{'type': 'Point', 'coordinates': [-114.102332251741, 51.0031642609124]}",291.69,1,303,8
BEARSPAW WATER TREATMENT PLANT,10010 BEARSPAW DAM RD NW,"{'type': 'Point', 'coordinates': [-114.231630695914, 51.1030282688664]}",626.4,2,168,13
SARCEE ADMINISTRATION BUILDING,110 WESTHILLS WY SW,"{'type': 'Point', 'coordinates': [-114.171290234224, 51.0132892680048]}",56.23,1,248,1
WHITEHORN MULTI-SERVICES CTR,3705 35 ST NE,"{'type': 'Point', 'coordinates': [-113.983595253594, 51.0858922420126]}",415.4,4,190,9
FIRE STATION 8,1720 45 ST SW,"{'type': 'Point', 'coordinates': [-114.152120231103, 51.0386692641557]}",1.38,1,77,14
FIRE STATION 24,2607 106 AV SW,"{'type': 'Point', 'coordinates': [-114.121389760604, 50.9574352661132]}",1.38,1,311,8
CORPORATE WAREHOUSE,2340 22 ST NE,"{'type': 'Point', 'coordinates': [-114.005361752557, 51.0731842453142]}",116.55,4,73,9
SHEPARD WMF BUILDING W,11920 68 ST SE,"{'type': 'Point', 'coordinates': [-113.932857804343, 50.9446462457914]}",4334,3,290,4
"MANCHESTER BUILDING B,C,D,F,G,H,I,I REMOTE,J,K,L,M,N,QR",651 25 AV SE,"{'type': 'Point', 'coordinates': [-114.052976255494, 51.0270232537614]}",36.89,3,229,10
FIRE STATION 7,2708 4 ST NW,"{'type': 'Point', 'coordinates': [-114.071084237653, 51.0763252525128]}",31.8,2,118,7
FIRE STATION 30,6 MCKENZIE TOWNE GA SE,"{'type': 'Point', 'coordinates': [-113.963070805826, 50.9164312510856]}",1.31,3,240,4
SOUTHLAND LEISURE CENTRE,2000 SOUTHLAND DR SW,"{'type': 'Point', 'coordinates': [-114.108470261925, 50.9624842643223]}",153,1,147,8
EAST CALGARY WMF BUILDING U,7019 34 AV SE,"{'type': 'Point', 'coordinates': [-113.931323282633, 51.0228112403552]}",204.1,3,221,12
LOT 51 IMPOUND ADMIN BUILDING,400 39 AV SE,"{'type': 'Point', 'coordinates': [-114.05894325663, 51.0185182550017]}",115.56,3,229,10
